round,grouping,group_id,guess_other,other_guess
1,number,1,0,1
1,number,2,1,0
1,number,3,2,3
1,number,4,2,2
2,letter,A,0,3
2,letter,B,3,3
2,letter,C,1,3
2,letter,D,1,0
3,color,red,3,0
3,color,yellow,3,1
3,color,green,2,3
3,color,blue,3,0
4,shape,circle,1,0
4,shape,square,0,0
4,shape,triangle,2,3
4,shape,star,1,1
5,direction,north,3,0
5,direction,east,0,3
5,direction,south,1,1
5,direction,west,2,1
6,season,winter,0,3
6,season,spring,1,0
6,season,summer,1,1
6,season,fall,3,1
7,element,earth,3,0
7,element,water,2,2
7,element,air,3,2
7,element,fire,1,3
8,phase,solid,1,2
8,phase,liquid,1,0
8,phase,gas,2,0
8,phase,plasma,1,0
